titre_comm,comm,date,loc,note,photo
Bienvenue sur la route 66!,"Hôtel vieillissant mais chambre propre et fonctionnelle. Accueil très sympathique et convivial. Café offert au distributeur. Ambiance Nouveau Mexique, route 66 et Cars, à fond! Tous les petits accessoires sont dans le thème ! Ka-shaw 😉",Morgan V a écrit un avis (7 déc.),"None, None",bubble_40,yes
Immersion géniale dans l’univers de Cars,"L’hôtel, les chambres, l’extérieur, tout est immersif dans l’univers de Cars. La musique, la déco, tout. Il y a même les courts-métrages à l’entrée de l’hôtel. Le Starbuck est beau également. La nuit, les néons rouges rajoutent un charme supplémentaire.",Sab a écrit un avis (6 déc.),"None, None",bubble_40,no
Séjour disney,"Très déçu de notre séjour,des mois de préparation surtout pour les enfants qui étaient surexcités de enfin pouvoir voir leurs héros pour au final nous dire qu'il n'y à plus de rdv pour faire une photo avec les personnages plus de créneaux  sur les deux jours que nous avons passés et sur tous les points de photos de personnages sa été la même rengaine je trouve cela honteux car j'ai préparé ce voyage pour ma fille de 7 ans  qui est en situation de handicap j'ai contacté Disney je ne sais combien de fois pour justement avoir tout les renseignements être bien préparé ne rien rater à aucun moment ont m'a dit de prendre rdv pour les photos avec les personnages (en sachant que les rdv sont pris le jour même sur le parc)donc expliqué à son enfant de 7 ans en situation de handicap qu'elle ne peut pas faire de photo avec ses héros sa à été très  compliqué et aussi les attractions et spectacles annulé le jour même donc au final zéro photo et pas de spectacle sa à vraiment été très difficile surtout quand on vient qu'une fois dans sa vie vu le prix !!!…",Ridj S a écrit un avis (3 déc.),"None, None",bubble_10,no
Bien mais pas exceptionnel,"Hôtel situé à 20 mins à pieds des parcs en passant par Disney Village. Accueil sympa mais sans plus. Chambre assez spacieuse à la belle déco Cars. Tout est dans les détails jusque dans la salle de bain. En revanche, literie pas du tout confortable avec des oreillers très durs. L'hôtel est vieillissant et mériterait un bon rafraichissement! Nous mettons 4 sur 5 notamment pour le buffet du petit déjeuner qui est très fourni, varié: sucré/salé et où tout était très bon. Le Starbucks dans l'hôtel est pratique mais assez cher! Nous n'avons pas été informé des boissons offertes, dommage. ",SNJ-78 a écrit un avis (nov. 2022),"Versailles, France",bubble_40,no
Déçu,"Première fois dans cet hôtel disney et je pense la dernière.  Nous avons dormi la bas pour l'anniversaire  de notre fille  de 7ans avec nos deux enfants de 7 et 4 ans, le chauffage était coupé impossible de l'allumer  c'est la première fois que j'ai aussi froid la nuit mais enfants étant épuisé  de leur journée on finalement pas eu de mal à s'endormir mais moi j'ai dormi avec ma doudoune pour pouvoir me réchauffer je n'ai pas appeler le service  pour ne pas être déranger plus lontemps et pour une nuit je me suis dit prend sur toi. De plus 0  petite attention dans la chambre ni à l'accueil pour l'anniversaire de ma puce vraiment déçu. Hôtel qui a besoin d'un bon rafraîchissement. ",Sabrina D a écrit un avis (nov. 2022),"None, None",bubble_30,no
Bienvenue sur la route 66!,"Hôtel vieillissant mais chambre propre et fonctionnelle. Accueil très sympathique et convivial. Café offert au distributeur. Ambiance Nouveau Mexique, route 66 et Cars, à fond! Tous les petits accessoires sont dans le thème ! Ka-shaw 😉",Morgan V a écrit un avis (7 déc.),"None, None",bubble_40,yes
Immersion géniale dans l’univers de Cars,"L’hôtel, les chambres, l’extérieur, tout est immersif dans l’univers de Cars. La musique, la déco, tout. Il y a même les courts-métrages à l’entrée de l’hôtel. Le Starbuck est beau également. La nuit, les néons rouges rajoutent un charme supplémentaire.",Sab a écrit un avis (6 déc.),"None, None",bubble_40,no
Séjour disney,"Très déçu de notre séjour,des mois de préparation surtout pour les enfants qui étaient surexcités de enfin pouvoir voir leurs héros pour au final nous dire qu'il n'y à plus de rdv pour faire une photo avec les personnages plus de créneaux  sur les deux jours que nous avons passés et sur tous les points de photos de personnages sa été la même rengaine je trouve cela honteux car j'ai préparé ce voyage pour ma fille de 7 ans  qui est en situation de handicap j'ai contacté Disney je ne sais combien de fois pour justement avoir tout les renseignements être bien préparé ne rien rater à aucun moment ont m'a dit de prendre rdv pour les photos avec les personnages (en sachant que les rdv sont pris le jour même sur le parc)donc expliqué à son enfant de 7 ans en situation de handicap…",Ridj S a écrit un avis (3 déc.),"None, None",bubble_10,no
Bien mais pas exceptionnel,"Hôtel situé à 20 mins à pieds des parcs en passant par Disney Village. Accueil sympa mais sans plus. Chambre assez spacieuse à la belle déco Cars. Tout est dans les détails jusque dans la salle de bain. En revanche, literie pas du tout confortable avec des oreillers très durs. L'hôtel est vieillissant et mériterait un bon rafraichissement! Nous mettons 4 sur 5 notamment pour le buffet du petit déjeuner qui est très fourni, varié: sucré/salé et où tout était très bon. Le Starbucks dans l'hôtel est pratique mais assez cher! Nous n'avons pas été informé des boissons offertes, dommage. ",SNJ-78 a écrit un avis (nov. 2022),"Versailles, France",bubble_40,no
Déçu,"Première fois dans cet hôtel disney et je pense la dernière.  Nous avons dormi la bas pour l'anniversaire  de notre fille  de 7ans avec nos deux enfants de 7 et 4 ans, le chauffage était coupé impossible de l'allumer  c'est la première fois que j'ai aussi froid la nuit mais enfants étant épuisé  de leur journée on finalement pas eu de mal à s'endormir mais moi j'ai dormi avec ma doudoune pour pouvoir me réchauffer je n'ai pas appeler le service  pour ne pas être déranger plus lontemps et pour une nuit je me suis dit prend sur toi. De plus 0  petite attention dans la chambre ni à l'accueil pour l'anniversaire de ma puce vraiment déçu. Hôtel qui a besoin d'un bon rafraîchissement. ",Sabrina D a écrit un avis (nov. 2022),"None, None",bubble_30,no
