titre_comm,comm,dateAvis,dateSejour,loc,note,photo,id
Magnifiques souvenirs,"Nous avons passé un WK dans ce maginifique Hôtel. Accueil au top, toujours le sourire des c’est member avec le soucis du bien être des clients  L’hôtel en lui même est juste superbe, tout est décoré avec goût, les enfants ainsi que les parents ont été émerveillés. La qualité de la restauration au top!! Nous n’avons pas profité de la piscine mais je suis sur que cela est un petit plus  Trés grand parking et surtout de nombreuses places pour voitures électriques, juste génial!  La chambre bien spacieuse avec une trés bonne literie. Nous avons adoré la télé incrustée dans le miroir!!  Je recommande vivement cet hôtel et nous reviendrons à coups sûrs",Benoit6287 a écrit un avis (18 déc.),Date du séjour : décembre 2022,"Lille, France",bubble_50,yes,"Benoit6287 a écrit un avis (18 déc.)Lille, Francebubble_50"
"Très bel hôtel, au design marvelien.","Belle chambre spacieuse avec une literie vraiment très confortable.  Petit- déjeuner varié et très bon (sucré, salé, plats préparés sur demande).  Hôtel très bien situé pour profiter pleinement des parcs (5 min à pieds, en traversant Disney village).  Attention à quelques détails: miroir/TV poussiéreux, bonde de douche mal nettoyée.",Eric a écrit un avis (18 déc.),Date du séjour : décembre 2022,"Parmain, France",bubble_40,yes,"Eric a écrit un avis (18 déc.)Parmain, Francebubble_40"
Super hôtel dans le thème Marvel à Disneyland Paris,"Super hôtel dans le thème Marvel avec des décors à couper le souffle  Les chambres spacieuses et bien équipée (machine à café, bouilloire pour le thé) et petite attention en souvenir. Le personnel de l’accueil, la boutique, bagagerie au top très serviable et aimable au petit soin avec nous.",wmichael1 a écrit un avis (11 déc.),Date du séjour : décembre 2022,"Valenciennes, France",bubble_50,yes,"wmichael1 a écrit un avis (11 déc.)Valenciennes, Francebubble_50"
Je m'attendais à mieux...,"Un peu déçue de l'hôtel. Très belles chambres, literie et personnel top mais petit déjeuner très classique et le côté Marvel est un peu surfait. Je n'ai été ni dépaysée ni charmée comme je l'avais été à  l'hôtel Disneyland. De plus, aucune réduction ou fast pass offert. Trop cher par rapport aux prestations.",cdelp62100 a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"None, None",bubble_40,no,"cdelp62100 a écrit un avis (nov. 2022)None, Nonebubble_40"
Ravie,"Nous avons vraiment apprécié notre nuit dans cet hôtel, les chambres sont comme sur les photos.  Le miroir qui en fait est une télé, trop classe, les lits sont super confortables. L hôtel est juste magnifique avec à chaque étage un personnage Marvel.   J ai pas mis 5 étoiles, car je trouve que vu le prix que nous payons, nous pourrions au moins avoir le petit déjeuner compris ( ne serais ce qu un simple buffet à volonté avec des viennoiseries), mais au moins dans les chambres nous avons du café à disposition, C est déjà ça.   En tout cas nous resterons enchanté de notre séjour. ",Marion P a écrit un avis (nov. 2022),Date du séjour : novembre 2022,"None, None",bubble_40,no,"Marion P a écrit un avis (nov. 2022)None, Nonebubble_40"
Location and theming make this ideal,"We stayed here for two nights.  The proximity to Disney Village and the parks is a big plus, when you leave the Village it is a very short walk into the hotel which is welcome after walking around all day.  The theming of the hotel was excellent.  I am not a huge Marvel fan but I was very impressed by the decoration throughout.  All the staff we encountered were friendly and helpful.  The room was very clean and they serviced it everyday (we didn't need to request this).  There was a bit more wear and tear than what I would have expected considering how recently the hotel was refurbished, the main thing I noticed were black marks on the bathroom mirror.  We had an issue where the shower head would just slide down the pole, but this was repaired very quickly after we reported it.…",Tobesk a écrit un avis (Hier),Date du séjour : novembre 2022,"Angleterre, Royaume-Uni",bubble_50,yes,"Tobesk a écrit un avis (Hier)Angleterre, Royaume-Unibubble_50"
Magnifiques souvenirs,"Nous avons passé un WK dans ce maginifique Hôtel. Accueil au top, toujours le sourire des c’est member avec le soucis du bien être des clients  L’hôtel en lui même est juste superbe, tout est décoré avec goût, les enfants ainsi que les parents ont été émerveillés. La qualité de la restauration au top!! Nous n’avons pas profité de la piscine mais je suis sur que cela est un petit plus  Trés grand parking et surtout de nombreuses places pour voitures électriques, juste génial!  La chambre bien spacieuse avec une trés bonne literie. Nous avons adoré la télé incrustée dans le miroir!!  Je recommande vivement cet hôtel et nous reviendrons à coups sûrs",Benoit6287 a écrit un avis (18 déc.),Date du séjour : décembre 2022,"Lille, France",bubble_50,yes,"Benoit6287 a écrit un avis (18 déc.)Lille, Francebubble_50"
"Très bel hôtel, au design marvelien.","Belle chambre spacieuse avec une literie vraiment très confortable.  Petit- déjeuner varié et très bon (sucré, salé, plats préparés sur demande).  Hôtel très bien situé pour profiter pleinement des parcs (5 min à pieds, en traversant Disney village).  Attention à quelques détails: miroir/TV poussiéreux, bonde de douche mal nettoyée.",Eric a écrit un avis (18 déc.),Date du séjour : décembre 2022,"Parmain, France",bubble_40,yes,"Eric a écrit un avis (18 déc.)Parmain, Francebubble_40"
An honest review for those with high standards,The good and bad about this hotel.  Let’s do the good first. Elena at front desk is a star. The hotel are lucky to have her as she turned around what started as a disaster of a trip. The hotel lobby is very attractive and its close proximity to the Disney park is ideal for those with small children.  This hotel has become very popular whilst the Disneyland Hotel is under renovations. Once that opens in just over a year then everyone with very high standards will return to that hotel.  There are some major issues with the Marvel Hotel and it starts and ends with the bedroom cleaning staff. I asked one of the cleaning team leaders why our room had not been cleaned in the morning and she looked at me and said “you want it cleaned?” I know this is a 4 star hotel but surely rooms are…,Hope7878 a écrit un avis (16 déc.),Date du séjour : décembre 2022,"None, None",bubble_30,no,"Hope7878 a écrit un avis (16 déc.)None, Nonebubble_30"
Bene ma non benissimo,"Abbiamo soggiorno 4gg/3nt in questa splendida struttura.  L’hotel è meraviglioso!  L’ingresso poi con Iron man in tre versioni e gli scudi di Captain America sono incredibili!!  Un hotel magico, personale gentile e cibo buonissimo con una colazione al top!   Camera con vista giardino e tv led incorporato allo specchio fantastico. E fin qui ci siamo…  Poi arriva il ma… Il primo giorno usciamo la mattina e mia figlia lascia una scatolina sotto il letto. L’avevo vista, ma non mi serviva e quindi per pigrizia l’ho lasciata lì.  Al mio ritorno trovo ancora la scatolina a terra sotto il letto, ovviamente la prendo e trovo una marea di laniccia/ sporcizia 😣.  Poi trovo i ns pigiami tutto aggrovigliati e buttati sulla poltrona e sul letto. Senza parole.  La sera poi andiamo in piscina…",misgui a écrit un avis (11 déc.),Date du séjour : décembre 2022,"Civitavecchia, Italie",bubble_30,yes,"misgui a écrit un avis (11 déc.)Civitavecchia, Italiebubble_30"
Super hôtel dans le thème Marvel à Disneyland Paris,"Super hôtel dans le thème Marvel avec des décors à couper le souffle  Les chambres spacieuses et bien équipée (machine à café, bouilloire pour le thé) et petite attention en souvenir. Le personnel de l’accueil, la boutique, bagagerie au top très serviable et aimable au petit soin avec nous.",wmichael1 a écrit un avis (11 déc.),Date du séjour : décembre 2022,"Valenciennes, France",bubble_50,yes,"wmichael1 a écrit un avis (11 déc.)Valenciennes, Francebubble_50"
Hotel New York Marvel,"Hotel Marvel New York fantástico. Cerca de el parque. Habitaciones bastante limpias y el detalle cuando vuelven a pasar por la tarde genial! Destacaría su tienda boutique y el Downtown, el espacio para dibujar los niños. Me compre el ambientador de el hotel para casa, huele fenomenal. Punto a mejorar pondría que podrían ser un poco más ágiles en el momento de la cola para entrar en el restaurante y su precio es muy elevado, no todo el mundo se lo puede permitir",cristina p a écrit un avis (11 déc.),Date du séjour : décembre 2022,"Gérone, Espagne",bubble_50,no,"cristina p a écrit un avis (11 déc.)Gérone, Espagnebubble_50"
Great Location But Overpriced,"The hotel is a great location, 10 minute walk from the parks, staff are friendly and very helpful. The hotel was let down by the poor breakfast, cleanliness of the rooms. We had the meal plan for breakfast, it is an all you can eat buffet, but the bacon was stringy and like rubber, the scrambled egg was a bowl of watery mush.  My husband just ate croissants everyday as the breakfast was horrible, our daughter managed to eat the half cooked pancakes. It was a very expensive breakfast for the quality of food. Now the rooms, apart from a couple of pictures on the wall there is nothing Marvel about it. The giant mirror in the room is also the TV screen, which was covered in dust and when you put the up lighters on above the TV just emphasis the dust more. The cabinet beside the TV…",Emgerry a écrit un avis (11 déc.),Date du séjour : décembre 2022,"Maidstone, Royaume-Uni",bubble_30,yes,"Emgerry a écrit un avis (11 déc.)Maidstone, Royaume-Unibubble_30"
Great Hotel and Lovely Staff,"We stayed here for two nights while visiting Disneyland Paris and it was lovely. The rooms were recently refurbished and offered plenty of space and just overall they did a wonderful job redoing them.   Getting into the hotel was a little slow with security check and bag-drop, but check-in was pretty quick - you can check-in anytime to get your park tickets and then check-back after 3pm to get your room number. Considering it's a family friendly area and hotel we didn't hear much noise from the corridoor and the decor of the rooms and hotel was amazing.   We purchased the breakfast which had a wide selection of hot and cold dishes and provided a good start to the day. Proximity to Disney Village as well as the two parks was great and the other bars and restaurants looked quite…",Ben S a écrit un avis (9 déc.),Date du séjour : novembre 2022,"Adelaïde, Australie",bubble_50,no,"Ben S a écrit un avis (9 déc.)Adelaïde, Australiebubble_50"
EXCELENTE OPCIÓN PARA ALOJARTE DURANTE TU VISTA AL PARQUE,"Durante nuestra estancia en Disney París, escogimos este hotel, que cuenta con todo tipo de comodidades, lo cual resulta muy positivo a la hora de pasar el trance de este ""peaje social"" de la visita a Mickey Mouse que nos han impuesto cuando el niño, la niña o el niñe hace la primera comunión.  UBICACIÓN. Excelente. Sales del hotel y ya te encuentras con el primer control de acceso al parque. Tardas muy poco a pie en llegar a los tornos.  INSTALACIONES. Se trata de un hotel inspirado en los alojamientos de Nueva York y realmente está conseguido. Decoración al estilo de Márvel, que gustará a los más pequeños y a los ya un poco cascudos como yo. HABITACIONES. Amplias, confortables y con buenas camas, ideal para una familia. Todo muy bien. DESAYUNO. A veces un poco caótico, por la…",JUAN073 a écrit un avis (7 déc.),Date du séjour : décembre 2022,"Huercal-Overa, Espagne",bubble_50,no,"JUAN073 a écrit un avis (7 déc.)Huercal-Overa, Espagnebubble_50"
