titre_comm,comm,date,loc,note,photo
Bon séjour,"Nous y avons séjourné pour 1 nuit. L’hôtel est magnifique et la literie confortable! La salle de bain manquait légèrement de propreté… la personne de la réception n’était pas très aimable et ne nous a rien expliqué sur le fonctionnement de l’hôtel et des parcs.  Service de bagagerie très pratique et hôtel idéalement situé.  Nous avons toutefois passé un excellent séjour à Disneyland Paris, la magie au sein des parcs étant toujours bien présente!",Palm a écrit un avis (12 déc.),"None, None",bubble_40,no
Très bien pour le séjour aux parcs,"Hôtel parfait, ambiance bords de mer, piscine. Service compas club remarquable, merci à tous les casts member de ce service, pour les courtoise, gentillesse et professionnalisme. Seul point négatif, la distance entre l'hôtel et les deux parcs.",loicb29loc a écrit un avis (9 déc.),"Bretagne, France",bubble_40,yes
"le plaisir d'un hôtel Disney , un peu chère et des prestations d'un bon 3 étoiles . ","habitue des hôtels Disney le Newport impressionne et offre un cadre et des services agréable , les cast menbers participent grandement à votre séjour et à la magie des lieux , une mentions spécial donc pour le personnel très charmant et international . notre chambre était très agréable au 6em étage ( 6172 ) chauffer correctement et refaite tous les jours avec un bon équipement , café , thé , planche à repasser et fer , 2 bouteilles d'eau d'accueil , renouveler 1 fois sur 4 jours de séjours , télé , carnet et stylo , coffre-fort  , avec un bonus très appréciable un balcon . la literie nous a semblé très bien , bonne insonorisation , du moins pour nous ça a été très calme , ou a moins d'avoir une famille de furieux a cote ce qui peut arriver . un peu moins emballé par la salle de bain , d'aspect vieillotte ,  la baignoire est daté et un peut dangereuse , serviettes , 1 par personnes , changer tous les jours , plus de gel douches et shampoing  en mignardises comme avant , mais 1 grand flacon en distributeur , juste 1 petits flacon de champoing . mais la grosse surprise est venu du papier toilette , 2 rouleau en tout et pour tous pour 4 personnes sur 4 jours , apparemment celons le personnel il était en rupture de stock , je peux comprendre que les approvisionnements soit difficile en cette période compliqué mais on est d'accord que ça reste inacceptable pour un établissement comme celui-ci et le prix qu'on paye . heureusement qu'on avait prévu quelques paquets de mouchoirs qui nous ont bien servie  petite astuce qui n'est pas très connu , vous avez une machine à café et a glaçons dans le couloir , et vous avez droit a 1 café gratuit ou autre par jour avec votre carte magic pass . la piscine est toujours très agréable après une bonne journée au parc ,mais  mériterais quelques degrés ,  de plus  sous conditions qu'il n'y est pas trop de monde  et que les enfants  ne squattent pas le jacuzzi sans se soucier des autres , n'hésitez pas à y aller y faire un tour , serviettes fourni . penser également que si vous ne voulait pas marcher , surtout après quelques jours , que vous avez toujours la navette qui vous mènera à la gare routière a cote de l'entrée de Disney village  , rotation toutes les 12 minutes et fin de service a 23hrs 30 . nous ne prenons plus depuis quelques temps nos petits déjeuner à l'hôtel , nous n'avons pas l'habitude de beaucoup manger le matin , alors 28 € pour un café au lait et 2 pains au chocolat  ça nous fait trop , nous préférons nous rendre au mc do pour le mc café qui vous coutera entre 6 a 10 € par personnes , ouvert dès  8 hrs du matin . nous n'avons pas non plus tester le restaurant de l'hôtel , préférant finir la soirée au parc ou au Disney village . le bar est très agréable , peut-être un peu juste pour la capacite de l'hôtel , quelques fois complet , le personnel est très sympa , les cocktails excellent , les prix sont dans la norme , une petite restauration est également proposer . bref pour résumer un très bon séjour , cela dit après réflexion pour notre prochain passage à Disneyland paris  pour le land de la reine des neiges , nous retournerons plutôt au sequoia lodge , pour son ambiance bois  plus chaleureuse , et nous trouvons l'hôtel plus agréable mais  c'est juste une question de gout car les prestations malgré une Etoiles en moins sont similaires . bon séjour et bonne vacances à tous . …",Fred et Céline a écrit un avis (4 déc.),"Ajaccio, France",bubble_40,yes
Séjour au Compass Club Newport Bay du 25 au 27 nov... Peut mieux faire...,"Fort de l'expérience extraordinaire du Castle Club (Hôtel Disney) en 2018, nous optons pour le Compass Club, censé être l'équivalent au Newport Bay. Et force est de constater que les prestations n'ont plus rien à voir, le Covid et les financiers sont passés par là pour en offrir toujours moins pour le même prix.  Cela débute avec le service Disney Express, nous déposons les bagages à 8h30, ils sont livrés en chambre à 17h30. Car il n'y a qu'une rotation à 17h00... La navette, il est plus rapide de marcher jusqu'à l'hôtel, que de prendre ce bus. Puisque l'hôtel est desservi en dernier.  Le Compass Club, contrairement au Castle Club les étages dédiés utilisent les même infrastructures que le reste de l'hôtel. La conciergerie et le lounge mis à part... Plus rien d'exclusif... La chambre est correcte, seul bémol, il manque des prises électriques dans la salle de bain, et au niveau des têtes de lit. A priori juste mieux équipé qu'une standard... Le Lounge... Réservé aux clients du Compass Club, est une salle sans âme et sans fenêtre, extrêmement bruyante.  Enfin, lors du check out, la concierge m'indique que je recevrais la facture par email... Et toujours rien à ce jour... Bonne surprise du séjour, la nourriture, qui elle, s'est grandement amélioré par rapport à notre précédent séjour. Enfin un mot sur les Cast members, qui font un travail remarquable, et qui permettent de sauver l’expérience Disney, par leur sourire et leur dévouement. En résumé, à force de vouloir faire tout payer en supplément, fast pass, accès aux spectacles, repas avec les personnages, et de limiter les fast pass ou la présence des personnages dans les hôtels... Disney risque fort de voir ses clients partir vers d'autres cieux...…",Jeff98 a écrit un avis (1 déc.),"Monte-Carlo, Monaco",bubble_30,no
Déçu rapport qualité prix,"Très belle décoration, literie confortable , cafetière, bouilloire pratiques. Par contre salle de bain à revoir ,pommeau douche défectueux,baignoire peu pratique, pas de frigo, pas de prise usb, pas de miroir grossissant. Pour un 4 étoiles manquent des prestations .",Fabrice a écrit un avis (1 déc.),"Ville de Roanne, France",bubble_30,no
Bon séjour,"Nous y avons séjourné pour 1 nuit. L’hôtel est magnifique et la literie confortable! La salle de bain manquait légèrement de propreté… la personne de la réception n’était pas très aimable et ne nous a rien expliqué sur le fonctionnement de l’hôtel et des parcs.  Service de bagagerie très pratique et hôtel idéalement situé.  Nous avons toutefois passé un excellent séjour à Disneyland Paris, la magie au sein des parcs étant toujours bien présente!",Palm a écrit un avis (12 déc.),"None, None",bubble_40,no
Très bien pour le séjour aux parcs,"Hôtel parfait, ambiance bords de mer, piscine. Service compas club remarquable, merci à tous les casts member de ce service, pour les courtoise, gentillesse et professionnalisme. Seul point négatif, la distance entre l'hôtel et les deux parcs.",loicb29loc a écrit un avis (9 déc.),"Bretagne, France",bubble_40,yes
"le plaisir d'un hôtel Disney , un peu chère et des prestations d'un bon 3 étoiles . ","habitue des hôtels Disney le Newport impressionne et offre un cadre et des services agréable , les cast menbers participent grandement à votre séjour et à la magie des lieux , une mentions spécial donc pour le personnel très charmant et international . notre chambre était très agréable au 6em étage ( 6172 ) chauffer correctement et refaite tous les jours avec un bon équipement , café , thé , planche à repasser et fer , 2 bouteilles d'eau d'accueil , renouveler 1 fois sur 4 jours de séjours , télé , carnet et stylo , coffre-fort  , avec un bonus très appréciable un balcon . la literie nous a semblé très bien , bonne insonorisation , du moins pour nous ça a été très calme , ou a moins d'avoir une famille de furieux a cote ce qui peut arriver . un peu moins emballé par la salle de…",Fred et Céline a écrit un avis (4 déc.),"Ajaccio, France",bubble_40,yes
Séjour au Compass Club Newport Bay du 25 au 27 nov... Peut mieux faire...,"Fort de l'expérience extraordinaire du Castle Club (Hôtel Disney) en 2018, nous optons pour le Compass Club, censé être l'équivalent au Newport Bay. Et force est de constater que les prestations n'ont plus rien à voir, le Covid et les financiers sont passés par là pour en offrir toujours moins pour le même prix.  Cela débute avec le service Disney Express, nous déposons les bagages à 8h30, ils sont livrés en chambre à 17h30. Car il n'y a qu'une rotation à 17h00... La navette, il est plus rapide de marcher jusqu'à l'hôtel, que de prendre ce bus. Puisque l'hôtel est desservi en dernier.  Le Compass Club, contrairement au Castle Club les étages dédiés utilisent les même infrastructures que le reste de l'hôtel. La conciergerie et le lounge mis à part... Plus rien d'exclusif... La…",Jeff98 a écrit un avis (1 déc.),"Monte-Carlo, Monaco",bubble_30,no
Déçu rapport qualité prix,"Très belle décoration, literie confortable , cafetière, bouilloire pratiques. Par contre salle de bain à revoir ,pommeau douche défectueux,baignoire peu pratique, pas de frigo, pas de prise usb, pas de miroir grossissant. Pour un 4 étoiles manquent des prestations .",Fabrice a écrit un avis (1 déc.),"Ville de Roanne, France",bubble_30,no
