titre_comm,comm,date,loc,note,photo
Très decus,"La semaine dernière j ai passé la nuit au sequoia lodge , sur 4 personne nous somme 2 a avoir du se laver avec de l' eau froide, c est triste pour ce genre d hôtel , j ai contacter Disneyland Paris qui m'a juste répondu qu'il été désolé. De plus il sont sence me prévenir quand ma chambre est prête , je n est rien reçu , j ai tout reçu le soir apre être passer à la réception ou il on seulement programmer les cartes alors que sa devait être fait d avance. Très déçus du comportement de Disney au vu du prix qu on paye.",Michel a écrit un avis (6 déc.),"None, None",bubble_10,no
Séjour début Saison Noël - Sequoia Lodge,"Toujours satisfait de notre séjour pour les commodités qu'offre l'hôtel Sequoia, proximité de tout à pied. Nous avons pris en Golden Forest, mais pas de différence avec une chambre standard seulement le déjeuner à côté de la boutique (c'est top) et la vue sur le lac que nous n'avons pas profité (départ chambre 8h retour 22h30). les chambres n'ont pas changé depuis 15 ans que nous y allons et les lits sont pas top, problème rencontré le manque de prises de courant, et la seule pouvant servir est en prise commandé avec la lumière : compliqué de chargé et encore plus pour une personne appareillé pour la nuit...",Laurent P a écrit un avis (5 déc.),"None, None",bubble_40,no
Decevant,Pas de plateau de courtoisie une frise qui se décolle et même déchirée a certains endroits personne pour faire régner le calme donc réveiller par un troupeau de gens en pleine nuit qui crient et court dans les couloirs Au vue du pris je m'attendais a autre chose Première fois a Disney je ne retournerai pas dans cet hôtel,gwladys C a écrit un avis (3 déc.),"None, None",bubble_20,no
En famille,Vraiment incroyable le service j'ai adoré vraiment à faire ai moin une fois dans ça vie je le conseille ma famille à adoré surtout mais fille la nourriture et le confort vraiment top conseille allez y,Livia A a écrit un avis (3 déc.),"None, None",bubble_50,yes
Décevant,Déçue par la chambre. 1 savon pour 2. Pas de mouchoirs. Pas de balai pour les toilettes. Propreté rien à dire c est très propre. Un peu vieillot. Douche qui coule pas au top. Petit déjeuner très bien. Du choix et bon. Le personnel très gentil et aux petits soins pour tout le monde.,Patatos94170 a écrit un avis (nov. 2022),"None, None",bubble_20,no
Très decus,"La semaine dernière j ai passé la nuit au sequoia lodge , sur 4 personne nous somme 2 a avoir du se laver avec de l' eau froide, c est triste pour ce genre d hôtel , j ai contacter Disneyland Paris qui m'a juste répondu qu'il été désolé. De plus il sont sence me prévenir quand ma chambre est prête , je n est rien reçu , j ai tout reçu le soir apre être passer à la réception ou il on seulement programmer les cartes alors que sa devait être fait d avance. Très déçus du comportement de Disney au vu du prix qu on paye.",Michel a écrit un avis (6 déc.),"None, None",bubble_10,no
Séjour début Saison Noël - Sequoia Lodge,"Toujours satisfait de notre séjour pour les commodités qu'offre l'hôtel Sequoia, proximité de tout à pied. Nous avons pris en Golden Forest, mais pas de différence avec une chambre standard seulement le déjeuner à côté de la boutique (c'est top) et la vue sur le lac que nous n'avons pas profité (départ chambre 8h retour 22h30). les chambres n'ont pas changé depuis 15 ans que nous y allons et les lits sont pas top, problème rencontré le manque de prises de courant, et la seule pouvant servir est en prise commandé avec la lumière : compliqué de chargé et encore plus pour une personne appareillé pour la nuit...",Laurent P a écrit un avis (5 déc.),"None, None",bubble_40,no
Decevant,Pas de plateau de courtoisie une frise qui se décolle et même déchirée a certains endroits personne pour faire régner le calme donc réveiller par un troupeau de gens en pleine nuit qui crient et court dans les couloirs Au vue du pris je m'attendais a autre chose Première fois a Disney je ne retournerai pas dans cet hôtel,gwladys C a écrit un avis (3 déc.),"None, None",bubble_20,no
En famille,Vraiment incroyable le service j'ai adoré vraiment à faire ai moin une fois dans ça vie je le conseille ma famille à adoré surtout mais fille la nourriture et le confort vraiment top conseille allez y,Livia A a écrit un avis (3 déc.),"None, None",bubble_50,yes
Décevant,Déçue par la chambre. 1 savon pour 2. Pas de mouchoirs. Pas de balai pour les toilettes. Propreté rien à dire c est très propre. Un peu vieillot. Douche qui coule pas au top. Petit déjeuner très bien. Du choix et bon. Le personnel très gentil et aux petits soins pour tout le monde.,Patatos94170 a écrit un avis (nov. 2022),"None, None",bubble_20,no
Séjour très agréable,"Nous avons passe un très agréable séjour dans l'hôtel, le personnel a été très agréable de l’accueil au départ. Les chambres étaient très propres, déco sympa sur le thème de Bambi. Le petit déjeuner et les repas sont copieux, et le personnel aussi très agréable, souriant, accueillant. Le séjour a été parfait et je le recommande aux familles.",David a écrit un avis (nov. 2022),"None, None",bubble_50,no
Sequoi lodge,Un grand merci à ce messieurs à l'accueil du petit déjeuner nous étions la bas du 18 au 22 novembre ( J-M) espérons qu'il vous mon message   Sinon pour le reste un grand merci à vous  Quel monde merveilleux vivement l'année prochaine,Jean Marie C a écrit un avis (nov. 2022),"Plourivo, France",bubble_50,no
