titre_commentaire,commentaire,Mois_Avis,Annee_Avis,Ville,Pays,Mois_Sejour,Annee_Sejour,Note,Photo,langue
"['très', 'bien']","['juste', 'peu', 'froid', 'nuit', 'peur', 'augmenter', 'chauffage', 'rideaux', 'touchaient', 'brulants', 'coller', 'deux', 'lit', 'place', 'fils', 'tombe']",déc,2022,None, None,décembre,2022,4,no,fr
"['objet', 'oublier', 'chambre']","['petit', 'garçon', 'oublier', 'switch', 'jaune', 'lit', 'appeler', 'réception', 'orienter', 'adresse', 'mail', 'personnel', 'hôtel', 'forcément', 'fais', 'lit', 'trouvez', 'switch', 'petit', 'garçon', 'très', 'difficile', 'hôtel', 'savoir', 'fais', 'chambre', 'décembre']",déc,2022,None, None,décembre,2022,1,no,fr
"['bienvenue', 'route']","['hôtel', 'vieillissant', 'chambre', 'propre', 'fonctionnelle', 'accueil', 'très', 'sympathique', 'convivial', 'café', 'offert', 'distributeur', 'ambiance', 'nouveau', 'mexique', 'route', 'fond', 'tous', 'petits', 'accessoires', 'thème', 'kashaw']",déc,2022,None, None,novembre,2022,4,yes,fr
"['immersion', 'géniale', 'univers']","['hôtel', 'chambres', 'extérieur', 'immersif', 'univers', 'musique', 'déco', 'courtsmétrages', 'entrée', 'hôtel', 'starbuck', 'beau', 'également', 'nuit', 'néons', 'rouge', 'rajoutent', 'charme', 'supplémentaire']",déc,2022,None, None,novembre,2022,4,no,fr
['séjour'],"['très', 'déçu', 'séjourdes', 'mois', 'préparation', 'surtout', 'enfants', 'surexcités', 'enfin', 'pouvoir', 'voir', 'héros', 'final', 'dire', 'plus', 'rdv', 'faire', 'photo', 'personnages', 'plus', 'créneaux', 'deux', 'jours', 'passés', 'tous', 'point', 'photo', 'personnages', 'rengaine', 'trouve', 'honteux', 'préparé', 'voyage', 'fille', 'situation', 'handicap', 'contacté', 'sais', 'combien', 'fois', 'justement', 'renseignements', 'être', 'bien', 'préparé', 'rien', 'rater', 'aucun', 'moment', 'dit', 'prendre', 'rdv', 'photo', 'personnages', 'sachant', 'rdv', 'pris', 'jour', 'parcdonc', 'expliqué', 'enfant', 'situation', 'handicap', 'peut', 'faire', 'photo', 'héros', 'très', 'compliqué', 'aussi', 'attraction', 'spectacle', 'annulé', 'jour', 'final', 'zéro', 'photo', 'spectacle', 'vraiment', 'très', 'difficile', 'surtout', 'quand', 'vient', 'fois', 'vie', 'prix']",déc,2022,None, None,novembre,2022,1,no,fr
"['très', 'bonne', 'expérience']","['excellente', 'solution', 'passer', 'quelques', 'jours', 'paris', 'hôtel', 'tient', 'promesses', 'chambres', 'regroupées', 'petite', 'maisons', 'disséminées', 'grande', 'surface', 'thème', 'respecté', 'moindres', 'détails', 'chambres', 'spartiates', 'basiques', 'propres', 'parfaitement', 'thématiques', 'moindres', 'détails', 'petitdéjeuner', 'très', 'varié', 'comprend', 'excellentes', 'option', 'végétaliennes', 'thème', 'texmex', 'service', 'accueil', 'réception', 'bagagerie', 'navettes', 'gratuites', 'relient', 'parcs', 'parfait']",décembre,2022,Palerme, Italie,novembre,2022,4,no,it
"['très', 'bien']","['juste', 'peu', 'froid', 'nuit', 'peur', 'augmenter', 'chauffage', 'rideaux', 'touchaient', 'brulants', 'coller', 'deux', 'lit', 'place', 'fils', 'tombe']",déc,2022,None, None,décembre,2022,4,no,fr
"['pire', 'expérience', 'client']","['pire', 'expérience', 'réservation', 'tous', 'temp', 'hôtel', 'risque', 'enregistrement', 'enfant', 'âge', 'contagieusement', 'malade', 'être', 'flexible', 'politique', 'petit', 'tombé', 'malade', 'lundi', 'alors', 'immédiatement', 'contacté', 'hôtel', 'deux', 'fois', 'téléphone', 'deux', 'fois', 'email', 'pouvaient', 'faire', 'exception', 'rester', 'jeudi', 'devine', 'quoi', 'vendredi', 'amener', 'fils', 'hôpital', 'merci', 'santa', 'volé']",déc,2022,None, None,décembre,2022,1,no,en
['magique'],"['séjourné', 'ici', 'juillet', 'famille', 'adoré', 'hôtel', 'thème', 'voitures', 'génial', 'petit', 'garçon', 'adoré', 'juillet', 'faisait', 'chaud', 'climatisation', 'comme', 'world', 'ventilateurs', 'plafond', 'super', 'aussi', 'bons', 'promenade', 'parcs', 'magnifique', 'prend', 'environ', 'minute', 'starbucks', 'hôtel', 'vraiment', 'pratique', 'boutique', 'cadeaux', 'super', 'personnel', 'sympathique', 'chambres', 'propres', 'plus', 'rencontres', 'caractère', 'hall', 'hôtel', 'génial', 'reviendrions', 'certainement', 'hôtel']",déc,2022,None, None,juillet,2022,5,yes,en
"['vieil', 'hôtel', 'personnel', 'peu', 'aimable']","['déçus', 'ème', 'fois', 'visitions', 'première', 'fois', 'dormions', 'santa', 'hôtel', 'vraiment', 'besoin', 'être', 'rénové', 'personnel', 'antipathique', 'petit', 'déjeuner', 'froid', 'dernière', 'fois', 'restons', 'ici']",déc,2022,None, None,décembre,2022,2,no,nl
