dateSejour,situation,titre_comm,comm,loc,langue,dateAvis,note,photo
déc. 2022 , En couple,Magique!,Endroit enchanté adapté aux petits et grands. Je ne reviendrais que sur quelques points : l'attente interminable pour les attractions et un repas même pour les personnes coeliaques.,"Salerne, Italie",it,None,"5,0 sur 5 bulles",no
déc. 2022 , En famille,très bon moment,"moment tres agreable, dans un environnement feerique , propre , accueillant , la meteo etait au rendez vous. les enfants comme les parents ont ete ravi de cette decouverte . l hotel impeccable (cheyenne) .on compte revenir ",1 contribution,fr,None,"5,0 sur 5 bulles",no
déc. 2022 , En famille,Déception,"Très très déçue par ce séjour. Beaucoup de manèges fermés, parade médiocre. Au niveau du restaurant, nous avons mangé dans un restaurant (plat à 15€) ou la salle n'était même pas chauffée, il devait faire 5°C et lorsque j'ai demandé au responsable de nous installer dans une autre salle il m'a répondu ""vous n'avez qu'à manger avec votre manteau !"". ","Athis-Mons, France",fr,Écrit le 19 décembre 2022,"2,0 sur 5 bulles",no
None,None,J'espère de nombreuses autres visites,"En tant qu'adulte qui a toujours aimé Disney et le sera toujours, c'est la meilleure expérience que j'ai eue. Visité plusieurs fois et j'espère en avoir beaucoup plus. Assurez-vous de profiter pleinement de TOUS les manèges, dînez dans l'un des nombreux restaurants et croyez-moi, c'est quelque chose que vous devez faire au moins une fois dans votre vie","Limassol, Chypre",en,Écrit le 19 décembre 2022,"5,0 sur 5 bulles",no
None,None,"Vous êtes allé à WDW ? Ne vous embêtez pas avec DLP, vous serez déçu","Ayant visité Disney World en Floride à plusieurs reprises, je m'attendais à ce que DLP soit une version plus petite sinon aussi bonne. Cependant, même mes attentes les plus basses n'ont pas été satisfaites. Nous avons passé 2 nuits/3 jours au Disneys Hotel Cheyenne. La plupart des manèges, anciens et nouveaux, ont été temporairement fermés pendant de longues périodes à un moment donné de notre séjour. L'un des avantages de rester sur place est l'heure magique supplémentaire le matin, mais cela ne servait à rien. Les principaux manèges n'étaient souvent pas prêts à ouvrir ou avaient des problèmes techniques et n'ouvraient donc pas à l'heure. Nous avons fait la queue pour le spectacle du roi lion uniquement pour qu'il soit annulé à la dernière minute sans explication. Le spectacle Mickey et le magicien a été interrompu deux fois en raison de difficultés techniques. La nourriture était encore plus chère que WDW et de qualité inférieure avec une mauvaise variété. L'application a également affirmé que certains restaurants étaient ouverts et fermés lorsque nous avons essayé de visiter. Nous avons visité pendant la période de Noël enchanté, mais à moins que vous ne soyez sur la rue principale, vous ne sauriez pas que c'était Noël. Ce n'est pas comme WDW où il y a des thèmes de Noël dans les parcs. Enfin, ne vous attendez pas à la chaleur et à l'accueil chaleureux des Cast Members de WDW.","Reading, UK",en,Écrit le 19 décembre 2022,"2,0 sur 5 bulles",no
None,None,L'esprit disney a disparu !,"Dommage que la magie n'existe plus.Nous y sommes aller plusieurs fois et on voit clairement un avant et apres covid.Les employées ne sont plus du tout dans me mood disney, l'ascenseur c'etait une blague ! Avant nous avions le droit a un vrai speech des groom pour nous mettre dans l'ambiance ! Et la j'avais l'impression d'etre dans une fete foraine, ""allez mettez vos ceintures, tirez dessus"" et hop les portes se ferment. Ou sont passer tous les employées qui jouaient le jeu jusqu'au bout? Tout le monde s'en fou, et on ressent bien qu'ils n'ont pas envie d'etre la ! Sauf quelques rares exceptions comme le chauffeur de salle dans le spectacle le roi lion, merci a lui, ça fait du bien de voir des gens encore plein d'entrain !Bref, deçu par l'ambiance generale, bon courage a vous pour remonter la pente, ça va vous prendre du temps pour revenir au niveau d'avant je pense (je parle au niveau de l'etat d'esprit) L'hotel New York est bien, personnel sympa.",2 contributions,fr,Écrit le 19 décembre 2022,"3,0 sur 5 bulles",no
None,None,"Beau parc, peu de jeux","Nous sommes allés à Disneyland les 7 et 8 septembre, le parc est très beau, l'ambiance est enchanteresse, on dirait un conte de fées, et très bien organisé. Au niveau des jeux, c'est plutôt pour les enfants, il y en a très peu pour les ados et les adultes... si vous voulez des jeux à faire monter l'adrénaline allez chez gardaland. Malheureusement, comme il y a peu de jeux pour ces derniers, nous avons fait la queue pour 45 minutes, quand notre tour est venu ils ont évacué le carrousel suite à un dysfonctionnement et cela nous est arrivé avec 2 jeux, ils les ont mis en place pour l'après-midi et repartent faire la queue… Il y a beaucoup, beaucoup de magasins qui vendent des gadgets en tout genre. les prix pour être le plus grand parc d'Europe ne sont pas aussi excessifs qu'on pourrait s'y attendre.","Darfo Boario Terme, Italie",it,None,"4,0 sur 5 bulles",yes
déc. 2022 , En famille,Déception,"Pas ou tres peu de décorations de noel en ce mois de décembre, un sapin et 3 guirlandes, aucun personnage croisés dans le parc pourtant nous sommes restés toute la journée, certaines attractions fermées , et pourtant le prix du billet reste le même ! Je viens à Disney depuis petite et je voulais faire découvrir Disney avec sa magie de Noël à mon fils et bien c est un raté total.Très déçue 😞",3 contributions,fr,Écrit le 19 décembre 2022,"3,0 sur 5 bulles",no
déc. 2022 , En famille,Magique mon cul...,"Les gens ont besoin de tester leur tête s'ils pensent que faire la queue pendant plus de 45 minutes pour un trajet à 0 ° C sans couverture, divertissement, musique ou chauffage est une expérience «magique». (Princess ride était de 90 minutes de file d'attente). Les 4 énormes manèges que nous avons parcourus étaient maladroits, obsolètes et un s'arrêtait même. Comment il n'y a pas de protocole lorsque les températures chutent me dépasse. Mes enfants de 5 et 7 ans voulaient rentrer à la maison au bout d'une heure... et oui, ils étaient emballés à un pouce de leur vie pour essayer de les garder au chaud. J'ai acheté des billets de 2 jours pour le parc Disneyland... donc j'ai eu quelques heures chaque jour mais seulement réussi aussi longtemps parce que nous nous tenions dans les magasins pour décongeler. Le spectacle nocturne et les feux d'artifice étaient fabuleux mais c'est une demi-heure. . . Dans l'ensemble, à peu près aussi magique que de faire la queue dans un aéroport, avec en plus des engelures. Honnêtement, je ne pourrais pas être plus déçu.",1 contribution,en,None,"1,0 sur 5 bulles",no
déc. 2022 , En famille,très belle expérience en famille,"très belle expérience mais trop chère, heureusement la méteo était avec nous. La déco est superbe, le spectacle de Disney D light est exceptionnel",12 contributions,fr,Écrit le 19 décembre 2022,"5,0 sur 5 bulles",no
