dateSejour,situation,titre_comm,comm,loc,langue,dateAvis,note,photo
déc. 2022 , En famille,Tout simplement fantastique !!!,"Parc à thème magnifique, jeux avec peu de file d'attente sauf pour NEMO... roller cast in the dark spectaculaire, pas pour les petits... mais à faire.Parc soigné dans les moindres détails, campus Avengers à voir absolument comme le tour de l'hôtel.... de fortes émotions !Excellent choix et variété pour se restaurer, moins cher que le parc Disneyland....","Rome, Italie",it,None,"5,0 sur 5 bulles",yes
déc. 2022 , En famille,Super héros Temps fantastique,Expérience fantastique. Nous avons vu pas mal de personnages merveilleux. Nous avons passé un très bon moment et avons trouvé que c'était un peu moins occupé que l'autre parc. Il semble également que des travaux soient en cours pour de nouvelles attractions. J'ai également été impressionné par la propreté du parc.,"Londres, UK",en,None,"5,0 sur 5 bulles",yes
oct. 2022, En couple,Une journée au Parc et Studio,"Nous avions des billets pour le parc et le studio, ce qui nous donnait suffisamment de flexibilité pour nous déplacer entre les deux et faire la queue pour les files d'attente plus courtes (utilisez l'application Disney !). Nous nous sommes bien amusés et nous reviendrions - probablement encore pour les deux parcs. Le feu d'artifice et le spectacle de lumière étaient super. Cela valait la peine de rester jusqu'à la fin et de faire quelques manèges quand il faisait noir. ce fut une expérience incroyable. 4 étoiles sur 5 car lorsque nous sommes arrivés avec le train, il y avait deux files d'attente. L'un était pour les personnes qui séjournaient à l'hôtel et l'autre sans hébergement à l'hôtel. mais il n'a été affiché nulle part et nous n'avons réalisé que nous étions dans la mauvaise file d'attente que lorsque c'était notre tour. Nous avons donc fini par faire la queue une deuxième fois. Ce qui était complètement inutile avec une meilleure signalisation. De plus, pendant le feu d'artifice / spectacle de lumières, il y avait à peine assez d'espace et les gens ont commencé à se pousser et à se crier dessus. Certaines scènes laides, en particulier avec des familles avec de petits enfants et des landaus. ces émissions se font quotidiennement. Ils devraient vraiment assurer une meilleure façon pour les gens de se déplacer. certains criaient même aux employés de Disney. Cela a en quelque sorte refroidi l'atmosphère pour moi à la fin.","Bad Zurzach, Suisse",en,None,"4,0 sur 5 bulles",no
déc. 2022 , En couple,Autour de perdre du temps,"Après un billet à 70 euros (à partir du 10 décembre 100), vous vous retrouvez dans un parc où il y a 3 attractions qui valent peut-être la peine, mais il y a jusqu'à 120 minutes d'attente. Si vous aimez, entrez. Il nous est arrivé 2 fois qu'après 1h d'attente inutile à cause de problèmes techniques nous avons été obligés de partir. Voir Car racer le 9 décembre et Thunder Mountain le 7 décembre. Si vous voulez éviter la file d'attente, 13 euros supplémentaires par personne. A éviter absolument",419 contributions,it,None,"1,0 sur 5 bulles",no
déc. 2022, En famille,Je recommande!,Nous avons apprécié l'ambiance et les attractions de Noël même s'il faisait assez froid. Nous serons de retour!!,"Bucarest, Roumanie",en,None,"5,0 sur 5 bulles",no
déc. 2022 , En couple,Grands services tragiques du parc,"Grand parc, services tragiques. Il n'y a pas de limite aux visiteurs du parc, donc les services sont horribles. Des heures d'attente même à O degrés avec de la pluie et de la neige. Vous ne pouvez pas manger, vous ne pouvez pas utiliser les toilettes sans attendre des heures et tout est très sale et ils vous traitent comme si vous ne payiez pas. L'argent est avant tout et vos rêves rencontrent la réalité. N'essayez pas même en semaine la même chose. Les week-ends encore pires.","Athènes, Grèce",en,Écrit le 13 décembre 2022,"1,0 sur 5 bulles",no
déc. 2022 , En famille,Ne vaut pas le détour,"Trop de file, trop d attente Temps d attente sous évalué et ne reflète pas la réalité Vraiment déçu de notre expérience !!",14 contributions,fr,Écrit le 13 décembre 2022,"1,0 sur 5 bulles",no
déc. 2022 , En famille,Le campus des vengeurs est magnifique,"Comme toujours, vous respirez la magie de Disney, la belle nouvelle zone du campus Avengers vaut vraiment la peine d'être visitée et de s'y perdre toute la journée","Pescara, Italie",it,None,"4,0 sur 5 bulles",yes
nov. 2022 , En couple,Merveilleux,"Expérience fantastique à vivre, il faut notamment aller à l'hôtel hollywood je ne vous dirai rien pour ne pas spoiler mais c'est une attraction flippante.... je vous laisse découvrir la suite :-)",7 contributions,it,None,"5,0 sur 5 bulles",yes
nov. 2022 , En famille,encore beaucoup de monde,"superbes attractions mais encore bcp de monde. 70 min pour Spiderman, du coup nous ne l'avons pas fait, 70 min pour les tortues, obligé d'acheter un fast pass. dommage que les fast pass soient payant maintenant...",4 contributions,fr,Écrit le 1 décembre 2022,"3,0 sur 5 bulles",no
