titre_commentaire,commentaire,Mois_Avis,Annee_Avis,Ville,Pays,Mois_Sejour,Annee_Sejour,Note,Photo,langue,latitude_city,longitude_city,Pays_recod,Contient_recod,lat_Pays,Lon_Pays,Ville_recod
Magnifiques souvenirs,"Nous avons passé un WK dans ce maginifique Hôtel. Accueil au top, toujours le sourire des c’est member avec le soucis du bien être des clients  L’hôtel en lui même est juste superbe, tout est décoré avec goût, les enfants ainsi que les parents ont été émerveillés. La qualité de la restauration au top!! Nous n’avons pas profité de la piscine mais je suis sur que cela est un petit plus  Trés grand parking et surtout de nombreuses places pour voitures électriques, juste génial!  La chambre bien spacieuse avec une trés bonne literie. Nous avons adoré la télé incrustée dans le miroir!!  Je recommande vivement cet hôtel et nous reviendrons à coups sûrs",décembre,2023,Lille, France,décembre,2022,5,yes,fr,50.6365654,3.0635282,France,Europe,50.636890550000004,3.0647468299596765,Lille
"Très bel hôtel, au design marvelien.","Belle chambre spacieuse avec une literie vraiment très confortable.  Petit- déjeuner varié et très bon (sucré, salé, plats préparés sur demande).  Hôtel très bien situé pour profiter pleinement des parcs (5 min à pieds, en traversant Disney village).  Attention à quelques détails: miroir/TV poussiéreux, bonde de douche mal nettoyée.",décembre,2023,Parmain, France,décembre,2022,4,yes,fr,49.1142087,2.2090453,None,None,None,None,None
Super hôtel dans le thème Marvel à Disneyland Paris,"Super hôtel dans le thème Marvel avec des décors à couper le souffle  Les chambres spacieuses et bien équipée (machine à café, bouilloire pour le thé) et petite attention en souvenir. Le personnel de l’accueil, la boutique, bagagerie au top très serviable et aimable au petit soin avec nous.",décembre,2023,Valenciennes, France,décembre,2022,5,yes,fr,50.3579317,3.5234846,None,None,None,None,None
Je m'attendais à mieux...,"Un peu déçue de l'hôtel. Très belles chambres, literie et personnel top mais petit déjeuner très classique et le côté Marvel est un peu surfait. Je n'ai été ni dépaysée ni charmée comme je l'avais été à  l'hôtel Disneyland. De plus, aucune réduction ou fast pass offert. Trop cher par rapport aux prestations.",novembre,2022,None, None,novembre,2022,4,no,fr,44.933143,7.540121,None,None,None,None,None
Ravie,"Nous avons vraiment apprécié notre nuit dans cet hôtel, les chambres sont comme sur les photos.  Le miroir qui en fait est une télé, trop classe, les lits sont super confortables. L hôtel est juste magnifique avec à chaque étage un personnage Marvel.   J ai pas mis 5 étoiles, car je trouve que vu le prix que nous payons, nous pourrions au moins avoir le petit déjeuner compris ( ne serais ce qu un simple buffet à volonté avec des viennoiseries), mais au moins dans les chambres nous avons du café à disposition, C est déjà ça.   En tout cas nous resterons enchanté de notre séjour. ",novembre,2022,None, None,novembre,2022,4,no,fr,44.933143,7.540121,None,None,None,None,None
L'emplacement et le thème en font l'idéal,"Nous avons séjourné ici pendant deux nuits. La proximité de Disney Village et des parcs est un gros plus, lorsque vous quittez le village, c'est à quelques pas de l'hôtel, ce qui est bienvenu après avoir marché toute la journée. Le thème de l'hôtel était excellent. Je ne suis pas un grand fan de Marvel mais j'ai été très impressionné par la décoration partout. Tous les membres du personnel que nous avons rencontrés étaient sympathiques et serviables. La chambre était très propre et ils l'ont nettoyée tous les jours (nous n'avions pas besoin de le demander). Il y avait un peu plus d'usure que ce à quoi je m'attendais compte tenu de la récente rénovation de l'hôtel, la principale chose que j'ai remarquée, ce sont des marques noires sur le miroir de la salle de bain. Nous avons eu un problème où la pomme de douche glissait simplement sur le poteau, mais cela a été réparé très rapidement après que nous l'avons signalé.…",janvier,2023,Angleterre, Royaume-Uni,novembre,2022,5,yes,en,52.5310214,-1.2649062,None,None,None,None,None
Magnifiques souvenirs,"Nous avons passé un WK dans ce maginifique Hôtel. Accueil au top, toujours le sourire des c’est member avec le soucis du bien être des clients  L’hôtel en lui même est juste superbe, tout est décoré avec goût, les enfants ainsi que les parents ont été émerveillés. La qualité de la restauration au top!! Nous n’avons pas profité de la piscine mais je suis sur que cela est un petit plus  Trés grand parking et surtout de nombreuses places pour voitures électriques, juste génial!  La chambre bien spacieuse avec une trés bonne literie. Nous avons adoré la télé incrustée dans le miroir!!  Je recommande vivement cet hôtel et nous reviendrons à coups sûrs",décembre,2023,Lille, France,décembre,2022,5,yes,fr,50.6365654,3.0635282,France,Europe,50.636890550000004,3.0647468299596765,Lille
"Très bel hôtel, au design marvelien.","Belle chambre spacieuse avec une literie vraiment très confortable.  Petit- déjeuner varié et très bon (sucré, salé, plats préparés sur demande).  Hôtel très bien situé pour profiter pleinement des parcs (5 min à pieds, en traversant Disney village).  Attention à quelques détails: miroir/TV poussiéreux, bonde de douche mal nettoyée.",décembre,2023,Parmain, France,décembre,2022,4,yes,fr,49.1142087,2.2090453,None,None,None,None,None
Une critique honnête pour ceux qui ont des normes élevées,"Les bons et les mauvais côtés de cet hôtel. Faisons d'abord le bien. Elena à la réception est une star. L'hôtel a de la chance de l'avoir alors qu'elle a fait demi-tour ce qui a commencé comme un désastre de voyage. Le hall de l'hôtel est très attrayant et sa proximité avec le parc Disney est idéale pour ceux qui ont de jeunes enfants. Cet hôtel est devenu très populaire alors que le Disneyland Hotel est en cours de rénovation. Une fois que cela ouvrira dans un peu plus d'un an, tous ceux qui ont des normes très élevées retourneront dans cet hôtel. Il y a quelques problèmes majeurs avec l'hôtel Marvel et cela commence et se termine avec le personnel de nettoyage des chambres. J'ai demandé à l'un des chefs de l'équipe de nettoyage pourquoi notre chambre n'avait pas été nettoyée le matin et elle m'a regardé et m'a dit ""tu veux qu'elle soit nettoyée?"" Je sais que c'est un hôtel 4 étoiles mais les chambres sont sûrement…",décembre,2023,None, None,décembre,2022,3,no,en,44.933143,7.540121,None,None,None,None,None
Bon mais pas génial,"Nous sommes restés 4 jours / 3 nt dans cette magnifique structure. L'hôtel est magnifique ! L'entrée ensuite avec Iron man en trois versions et les boucliers de Captain America sont incroyables !! Un hôtel magique, un personnel aimable et une cuisine délicieuse avec un petit déjeuner au top ! Chambre avec vue sur le jardin et TV LED intégrée dans le fantastique miroir. Et nous voilà… Puis vient le mais… Le premier jour, nous sortons le matin et ma fille laisse une petite boîte sous le lit. Je l'avais vu, mais je n'en avais pas besoin et donc par paresse je l'ai laissé là. A mon retour je trouve encore la boite par terre sous le lit, évidemment je la prends et trouve plein de peluches/salissures 😣. Puis je retrouve nos pyjamas tout emmêlés et jetés sur le fauteuil et sur le lit. Sans mots. Le soir on va à la piscine…",décembre,2023,Civitavecchia, Italie,décembre,2022,3,yes,it,42.0937524,11.7922462,None,None,None,None,None
