ID_date_sejour,Mois_sejour,Annee_sejour
1,décembre,2022
2,novembre,2022
3,août,2022
4,juillet,2022
5,octobre,2022
6,septembre,2022
7,juin,2022
8,février,2022
9,novembre,2021
10,décembre,2021
11,avril,2022
12,mai,2022
13,mars,2022
14,octobre,2021
15,janvier,2022
16,septembre,2021
17,août,2021
18,janvier,2021
19,juin,2021
20,octobre,2020
21,juillet,2021
22,septembre,2020
23,août,2020
24,février,2020
25,novembre,2020
26,décembre,2020
27,janvier,2020
28,octobre,2019
29,mars,2020
30,septembre,2019
31,juillet,2020
32,août,2019
33,novembre,2019
34,décembre,2019
35,mai,2019
36,None,0
37,avril,2019
38,juin,2019
39,mars,2019
40,juillet,2019
41,février,2019
42,décembre,2018
43,novembre,2018
44,janvier,2019
45,octobre,2018
46,septembre,2018
47,août,2018
48,juillet,2018
49,juin,2018
50,avril,2018
51,février,2018
52,janvier,2018
53,décembre,2017
54,mars,2018
55,mai,2018
56,novembre,2017
57,octobre,2017
58,septembre,2017
59,août,2017
60,juillet,2017
61,juin,2017
62,mai,2017
63,avril,2017
64,mars,2017
65,février,2017
66,décembre,2016
67,janvier,2017
68,novembre,2016
69,octobre,2016
70,septembre,2016
71,août,2016
72,juillet,2016
73,juin,2016
74,mai,2016
75,avril,2016
76,mars,2016
77,février,2016
78,janvier,2016
79,décembre,2015
80,novembre,2015
81,octobre,2015
82,septembre,2015
83,août,2015
84,juillet,2015
85,juin,2015
86,mai,2015
87,avril,2015
88,mars,2015
89,février,2015
90,janvier,2015
91,décembre,2014
92,novembre,2014
93,octobre,2014
94,avril,2021
95,février,2021
96,septembre,2014
97,juillet,2014
98,août,2014
99,mai,2014
100,juin,2014
101,avril,2014
102,février,2014
103,décembre,2013
104,mars,2014
105,novembre,2013
106,octobre,2013
107,septembre,2013
108,août,2013
109,juillet,2013
110,juin,2013
111,janvier,2014
112,mars,2013
113,mai,2013
114,décembre,2012
115,avril,2013
116,novembre,2012
117,février,2013
118,septembre,2012
119,octobre,2012
120,août,2012
121,mai,2012
122,janvier,2013
123,février,2012
124,juillet,2012
125,décembre,2011
126,janvier,2012
127,avril,2012
128,octobre,2011
129,juin,2012
130,novembre,2011
131,août,2011
132,septembre,2011
133,juillet,2011
134,juin,2011
135,mars,2012
136,mai,2011
137,avril,2011
138,février,2011
139,mars,2011
140,décembre,2010
141,janvier,2011
142,juillet,2010
143,octobre,2010
144,septembre,2010
145,novembre,2010
146,août,2010
147,décembre,2009
148,novembre,2009
149,mars,2010
150,avril,2010
151,juin,2010
152,août,2009
153,septembre,2009
154,mai,2010
155,mars,2008
156,mai,2009
157,janvier,2010
158,juillet,2009
159,février,2010
160,novembre,2008
161,octobre,2009
162,mai,2007
163,juin,2006
164,juin,2009
165,septembre,2006
166,avril,2009
167,février,2006
168,mars,2009
169,février,2009
170,décembre,2008
171,avril,2006
172,avril,2008
173,octobre,2008
174,septembre,2008
175,août,2008
176,juillet,2008
177,juin,2008
178,mai,2008
179,octobre,2007
180,février,2008
181,juillet,2007
182,janvier,2008
183,novembre,2007
184,septembre,2007
185,août,2007
186,juin,2007
187,août,2004
188,avril,2007
189,août,2005
190,mars,2007
191,décembre,2006
192,décembre,2005
193,octobre,2006
194,août,2006
195,avril,2002
196,septembre,2003
197,juin,2005
198,mars,2005
199,novembre,2005
200,juillet,2005
201,janvier,2005
202,février,2003
203,mai,2021
204,mars,2021
205,mai,2020
206,avril,2020
207,juin,2020
